,ref,ref_num,img,img_num,dist,qual,mos,dist_name,ocr_algo,target,cer,cer_comp,mos_fitted_total,model_params_total,mos_comp_fitted_total,model_params_comp_total,mos_fitted_total_overall,model_params_total_overall,mos_comp_fitted_total_overall,model_params_comp_total_overall,pearson,pearson_fitted,pearson_overall,pearson_fitted_overall,spearmanr,spearmanr_fitted,spearmanr_overall,spearmanr_fitted_overall,rmse,rmse_fitted,rmse_overall,rmse_fitted_overall
0,SCI01,1,SCI01_1_1,1,1,1,64.40449953,GN,ezocr,gt,0.046560111188325225,95.34398888116748,45.86794361716127,[3.03610891e+01 4.58679436e+01 3.29257274e-01 3.46787223e-03],45.868834728051375,[45.86883473 30.35372811 67.07516325 -0.34362565],55.06947167089061,[3.38463098e+01 5.50694717e+01 3.41568269e-01 7.04371554e-03],55.06285049577089,[55.0628505  33.83670647 65.82469285  0.69695028],0.18401564829176983,0.3628883124363447,0.4507693981305717,0.5321538757678335,0.16359683308317188,0.10389053127374516,0.32725194379753364,0.6152902926277997,39.79022770368652,12.289882187800135,30.59302684965717,10.810095928449341
1,SCI01,1,SCI01_1_2,1,1,2,50.77260091,GN,ezocr,gt,0.05559416261292564,94.44058373870745,45.86794361716127,[3.03610891e+01 4.58679436e+01 3.29257274e-01 3.46787223e-03],45.868834728051375,[45.86883473 30.35372811 67.07516325 -0.34362565],55.06947167089061,[3.38463098e+01 5.50694717e+01 3.41568269e-01 7.04371554e-03],55.06285049577089,[55.0628505  33.83670647 65.82469285  0.69695028],0.18401564829176983,0.3628883124363447,0.4507693981305717,0.5321538757678335,0.16359683308317188,0.10389053127374516,0.32725194379753364,0.6152902926277997,39.79022770368652,12.289882187800135,30.59302684965717,10.810095928449341
2,SCI01,1,SCI01_1_3,1,1,3,45.00483863,GN,ezocr,gt,0.06323835997220292,93.6761640027797,45.86794361716127,[3.03610891e+01 4.58679436e+01 3.29257274e-01 3.46787223e-03],45.868834728051375,[45.86883473 30.35372811 67.07516325 -0.34362565],55.06947167089061,[3.38463098e+01 5.50694717e+01 3.41568269e-01 7.04371554e-03],55.06285049577089,[55.0628505  33.83670647 65.82469285  0.69695028],0.18401564829176983,0.3628883124363447,0.4507693981305717,0.5321538757678335,0.16359683308317188,0.10389053127374516,0.32725194379753364,0.6152902926277997,39.79022770368652,12.289882187800135,30.59302684965717,10.810095928449341
3,SCI01,1,SCI01_1_4,1,1,4,32.49257514,GN,ezocr,gt,0.057678943710910355,94.23210562890897,45.86794361716127,[3.03610891e+01 4.58679436e+01 3.29257274e-01 3.46787223e-03],45.868834728051375,[45.86883473 30.35372811 67.07516325 -0.34362565],55.06947167089061,[3.38463098e+01 5.50694717e+01 3.41568269e-01 7.04371554e-03],55.06285049577089,[55.0628505  33.83670647 65.82469285  0.69695028],0.18401564829176983,0.3628883124363447,0.4507693981305717,0.5321538757678335,0.16359683308317188,0.10389053127374516,0.32725194379753364,0.6152902926277997,39.79022770368652,12.289882187800135,30.59302684965717,10.810095928449341
4,SCI01,1,SCI01_1_5,1,1,5,28.45834456,GN,ezocr,gt,0.05350938151494093,94.64906184850591,45.86794361716127,[3.03610891e+01 4.58679436e+01 3.29257274e-01 3.46787223e-03],45.868834728051375,[45.86883473 30.35372811 67.07516325 -0.34362565],55.06947167089061,[3.38463098e+01 5.50694717e+01 3.41568269e-01 7.04371554e-03],55.06285049577089,[55.0628505  33.83670647 65.82469285  0.69695028],0.18401564829176983,0.3628883124363447,0.4507693981305717,0.5321538757678335,0.16359683308317188,0.10389053127374516,0.32725194379753364,0.6152902926277997,39.79022770368652,12.289882187800135,30.59302684965717,10.810095928449341
5,SCI02,2,SCI02_1_1,2,1,1,67.29721451,GN,ezocr,gt,0.29429735234215887,70.57026476578412,45.867294467063324,[3.03610891e+01 4.58679436e+01 3.29257274e-01 3.46787223e-03],45.86824122692118,[45.86883473 30.35372811 67.07516325 -0.34362565],55.04366701766701,[3.38463098e+01 5.50694717e+01 3.41568269e-01 7.04371554e-03],55.03944824905649,[55.0628505  33.83670647 65.82469285  0.69695028],0.18401564829176983,0.3628883124363447,0.4507693981305717,0.5321538757678335,0.16359683308317188,0.10389053127374516,0.32725194379753364,0.6152902926277997,39.79022770368652,12.289882187800135,30.59302684965717,10.810095928449341
6,SCI02,2,SCI02_1_2,2,1,2,56.16891873,GN,ezocr,gt,0.2988798370672098,70.11201629327903,45.865510423431665,[3.03610891e+01 4.58679436e+01 3.29257274e-01 3.46787223e-03],45.866582892220734,[45.86883473 30.35372811 67.07516325 -0.34362565],55.02006829825647,[3.38463098e+01 5.50694717e+01 3.41568269e-01 7.04371554e-03],55.017731087137975,[55.0628505  33.83670647 65.82469285  0.69695028],0.18401564829176983,0.3628883124363447,0.4507693981305717,0.5321538757678335,0.16359683308317188,0.10389053127374516,0.32725194379753364,0.6152902926277997,39.79022770368652,12.289882187800135,30.59302684965717,10.810095928449341
7,SCI02,2,SCI02_1_3,2,1,3,51.04054963,GN,ezocr,gt,0.3167006109979633,68.32993890020367,45.46379834697156,[3.03610891e+01 4.58679436e+01 3.29257274e-01 3.46787223e-03],45.47639894177797,[45.86883473 30.35372811 67.07516325 -0.34362565],54.46551429104771,[3.38463098e+01 5.50694717e+01 3.41568269e-01 7.04371554e-03],54.49531473163991,[55.0628505  33.83670647 65.82469285  0.69695028],0.18401564829176983,0.3628883124363447,0.4507693981305717,0.5321538757678335,0.16359683308317188,0.10389053127374516,0.32725194379753364,0.6152902926277997,39.79022770368652,12.289882187800135,30.59302684965717,10.810095928449341
8,SCI02,2,SCI02_1_4,2,1,4,36.70846106,GN,ezocr,gt,0.4164969450101833,58.35030549898167,30.36108910980265,[3.03610891e+01 4.58679436e+01 3.29257274e-01 3.46787223e-03],30.353728113164692,[45.86883473 30.35372811 67.07516325 -0.34362565],33.8468190466663,[3.38463098e+01 5.50694717e+01 3.41568269e-01 7.04371554e-03],33.83717345333293,[55.0628505  33.83670647 65.82469285  0.69695028],0.18401564829176983,0.3628883124363447,0.4507693981305717,0.5321538757678335,0.16359683308317188,0.10389053127374516,0.32725194379753364,0.6152902926277997,39.79022770368652,12.289882187800135,30.59302684965717,10.810095928449341
9,SCI02,2,SCI02_1_5,2,1,5,29.26427273,GN,ezocr,gt,0.48879837067209775,51.12016293279022,30.361089109618494,[3.03610891e+01 4.58679436e+01 3.29257274e-01 3.46787223e-03],30.353728113018892,[45.86883473 30.35372811 67.07516325 -0.34362565],33.84630982604723,[3.38463098e+01 5.50694717e+01 3.41568269e-01 7.04371554e-03],33.83670648044399,[55.0628505  33.83670647 65.82469285  0.69695028],0.18401564829176983,0.3628883124363447,0.4507693981305717,0.5321538757678335,0.16359683308317188,0.10389053127374516,0.32725194379753364,0.6152902926277997,39.79022770368652,12.289882187800135,30.59302684965717,10.810095928449341
