crit,dist_name,cer_fitted_ezocr
pearson,CC,0.3705518670425236
pearson,CQD,0.3818296616037998
pearson,CSC,0.07283399995638125
pearson,GB,0.6356417789838547
pearson,GN,0.08568195173829647
pearson,HEVC-SCC,0.41143069397135207
pearson,JPEG,0.6016709327888093
pearson,JPEG2000,0.30032548062422093
pearson,MB,0.8329523876210032
spearman,CC,0.47846153846153844
spearman,CQD,0.529161275049162
spearman,CSC,0.041169683693841254
spearman,GB,0.6000000000000001
spearman,GN,0.1676923076923077
spearman,HEVC-SCC,0.2688978699481704
spearman,JPEG,0.3715384615384616
spearman,JPEG2000,0.24120421518616159
spearman,MB,0.8707692307692307
