img_num,q,codec,codec_config,ocr_algo,target,cer,cer_comp,size,psnr
1,35,vtm,scc,ezocr,gt,0.05072967338429465,94.92703266157054,317704,40.89610970540974
1,35,vtm,scc,ezocr,ref,0.0027662517289073307,99.72337482710927,317704,40.89610970540974
1,35,vtm,scc,tess,gt,0.15149409312022238,84.85059068797776,317704,40.89610970540974
1,35,vtm,scc,tess,ref,0.010248901903367497,98.97510980966325,317704,40.89610970540974
1,35,vtm,default,ezocr,gt,0.05142460041695622,94.85753995830439,865728,37.67030004084703
1,35,vtm,default,ezocr,ref,0.008298755186721992,99.1701244813278,865728,37.67030004084703
1,35,vtm,default,tess,gt,0.16330785267546907,83.66921473245309,865728,37.67030004084703
1,35,vtm,default,tess,ref,0.02855051244509517,97.14494875549047,865728,37.67030004084703
1,35,hm,scc,ezocr,gt,0.05142460041695622,94.85753995830439,320256,40.25385713396165
1,35,hm,scc,ezocr,ref,0.004149377593360996,99.5850622406639,320256,40.25385713396165
1,35,hm,scc,tess,gt,0.15218902015288394,84.78109798471161,320256,40.25385713396165
1,35,hm,scc,tess,ref,0.008784773060029283,99.12152269399708,320256,40.25385713396165
1,35,hm,default,ezocr,gt,0.05003474635163308,94.99652536483669,1322624,36.37207120582906
1,35,hm,default,ezocr,ref,0.004840940525587829,99.51590594744121,1322624,36.37207120582906
1,35,hm,default,tess,gt,0.1535788742182071,84.64211257817928,1322624,36.37207120582906
1,35,hm,default,tess,ref,0.006588579795021962,99.34114202049781,1322624,36.37207120582906
1,40,vtm,scc,ezocr,gt,0.05350938151494093,94.64906184850591,249432,35.55673506374349
1,40,vtm,scc,ezocr,ref,0.003457814661134163,99.65421853388659,249432,35.55673506374349
1,40,vtm,scc,tess,gt,0.13968033356497567,86.03196664350243,249432,35.55673506374349
1,40,vtm,scc,tess,ref,0.03953147877013177,96.04685212298682,249432,35.55673506374349
1,40,vtm,default,ezocr,gt,0.05350938151494093,94.64906184850591,646032,33.629310487357934
1,40,vtm,default,ezocr,ref,0.008298755186721992,99.1701244813278,646032,33.629310487357934
1,40,vtm,default,tess,gt,0.1507991660875608,84.92008339124392,646032,33.629310487357934
1,40,vtm,default,tess,ref,0.018301610541727673,98.16983894582724,646032,33.629310487357934
1,40,hm,scc,ezocr,gt,0.05072967338429465,94.92703266157054,241328,34.293412437457214
1,40,hm,scc,ezocr,ref,0.005532503457814661,99.44674965421854,241328,34.293412437457214
1,40,hm,scc,tess,gt,0.13968033356497567,86.03196664350243,241328,34.293412437457214
1,40,hm,scc,tess,ref,0.03733528550512445,96.26647144948755,241328,34.293412437457214
1,40,hm,default,ezocr,gt,0.05142460041695622,94.85753995830439,1035064,31.98557556646349
1,40,hm,default,ezocr,ref,0.006915629322268326,99.30843706777317,1035064,31.98557556646349
1,40,hm,default,tess,gt,0.14662960389159138,85.33703961084086,1035064,31.98557556646349
1,40,hm,default,tess,ref,0.02855051244509517,97.14494875549047,1035064,31.98557556646349
1,45,vtm,scc,ezocr,gt,0.048644892286309936,95.135510771369,175520,30.218104786217545
1,45,vtm,scc,ezocr,ref,0.014522821576763486,98.54771784232366,175520,30.218104786217545
1,45,vtm,scc,tess,gt,0.14523974982626825,85.47602501737317,175520,30.218104786217545
1,45,vtm,scc,tess,ref,0.029282576866764276,97.07174231332357,175520,30.218104786217545
1,45,vtm,default,ezocr,gt,0.05142460041695622,94.85753995830439,385680,27.918341023809845
1,45,vtm,default,ezocr,ref,0.008298755186721992,99.1701244813278,385680,27.918341023809845
1,45,vtm,default,tess,gt,0.15288394718554552,84.71160528144544,385680,27.918341023809845
1,45,vtm,default,tess,ref,0.03733528550512445,96.26647144948755,385680,27.918341023809845
1,45,hm,scc,ezocr,gt,0.057678943710910355,94.23210562890897,156784,27.627672266964037
1,45,hm,scc,ezocr,ref,0.01313969571230982,98.68603042876902,156784,27.627672266964037
1,45,hm,scc,tess,gt,0.14523974982626825,85.47602501737317,156784,27.627672266964037
1,45,hm,scc,tess,ref,0.03074670571010249,96.92532942898976,156784,27.627672266964037
1,45,hm,default,ezocr,gt,0.054204308547602505,94.57956914523974,714128,26.663139674863462
1,45,hm,default,ezocr,ref,0.011756569847856155,98.8243430152144,714128,26.663139674863462
1,45,hm,default,tess,gt,0.14246004169562196,85.7539958304378,714128,26.663139674863462
1,45,hm,default,tess,ref,0.03294289897510981,96.70571010248902,714128,26.663139674863462
1,50,vtm,scc,ezocr,gt,0.059763724808895066,94.02362751911049,112928,25.083735047570165
1,50,vtm,scc,ezocr,ref,0.034578146611341634,96.54218533886583,112928,25.083735047570165
1,50,vtm,scc,tess,gt,0.11396803335649756,88.60319666435025,112928,25.083735047570165
1,50,vtm,scc,tess,ref,0.08931185944363104,91.06881405563689,112928,25.083735047570165
1,50,vtm,default,ezocr,gt,0.046560111188325225,95.34398888116748,201504,24.381629522603077
1,50,vtm,default,ezocr,ref,0.015214384508990318,98.47856154910097,201504,24.381629522603077
1,50,vtm,default,tess,gt,0.1556636553161918,84.43363446838082,201504,24.381629522603077
1,50,vtm,default,tess,ref,0.046120058565153735,95.38799414348462,201504,24.381629522603077
1,50,hm,scc,ezocr,gt,0.045170257123002086,95.48297428769979,109008,23.236878194765364
1,50,hm,scc,ezocr,ref,0.029737206085753802,97.02627939142462,109008,23.236878194765364
1,50,hm,scc,tess,gt,0.15705350938151494,84.2946490618485,109008,23.236878194765364
1,50,hm,scc,tess,ref,0.03367496339677892,96.63250366032212,109008,23.236878194765364
1,50,hm,default,ezocr,gt,0.07991660875608061,92.00833912439194,380560,21.262641460402214
